,answerability_classification,cause_effect_classification,coreference_resolution,dialogue_act_recognition,word_analogy,textual_entailment,eval_exact_match
english_repeat_first_sentences,61.3846,49.4286,48.6429,56.2857,52.375,47.4167,36.5368
english_repeat_last_sentences,64.7692,48.0,47.3571,48.8571,51.0,48.625,36.6469
english,1.2248674740105077,2.99279103625139,0.9481999894537037,1.247219128924647,0.3679900360969936,0.5230203713899567,0.4757929965389944
english_stopword,0.6291012972663617,0.4714045207910317,2.2230843623718424,1.718246614688614,1.9472202409246537,0.5510405429730187,0.46208196242658145
english_delete_5,2.0244875653414662,2.276756853264945,0.6632856448519494,0.9920445464908412,0.48232653761625943,1.0817295821455974,0.60052024112431
english_delete_10,1.960503363934886,1.236259628431216,1.3226567439143906,4.493870403363033,1.2923385349392351,1.4374815082868604,0.4029766329040251
english_insert_5,1.3779240980547511,0.35633050513377235,1.01686058150674,1.726170706119956,1.2374368670764582,0.7494673011916908,0.18683214094178024
english_insert_10,1.3504845114089832,1.3144849747672593,0.8735111727327197,0.8806460217110836,1.6040313795766798,0.4815343278405898,0.22993246834668626
english_replace_5,0.5267174722330308,0.7030922951900074,0.379472721900623,2.696294341416672,0.6640573937712179,0.7576596524092397,0.3062966354514674
english_replace_10,0.7243292483394533,1.5400990927714866,0.9782320117890682,0.8806514293408021,1.8993785533402467,1.563817740872212,0.48127700501432313
english_repeat_sentences,0.45294478201603927,0.8597948398697604,0.9427989405075857,3.25135576131968,1.217636599683538,1.1491474298607458,0.33989813179833855
english_shuffle_sentences,1.2227030556198923,0.816496580927726,1.4333235247726392,0.17814743581901207,0.7359800721939872,1.7181000850422594,0.38468766840415025
